#! DESCRIPTION = SKIPA,,,,,,
#! REFERENCE = Skipa and GRCHC ips,,,,,,
# Uniq-Name,#Value,#Type,#Confidence,#Severity,#Product,#Comment
fgup.grchc.185.224.228.x,185.224.228.0-185.224.228.255,IP Range,high,high,AB,FGUP GRCHC
fgup.grchc.185.224.230.x,185.224.230.0-185.224.230.255,IP Range,high,high,AB,FGUP GRCHC
fgup.grchc.212.192.158.x,212.192.158.0-212.192.158.255,IP Range,high,high,AB,FGUP GRCHC
188.68.217.207,188.68.217.207,IP,high,high,AB,Skipa or similar 
212.41.12.45,212.41.12.45,IP,high,high,AB,Skipa or similar 
212.41.12.46,212.41.12.46,IP,high,high,AB,Skipa or similar 
212.41.12.47,212.41.12.47,IP,high,high,AB,Skipa or similar 
212.41.12.48,212.41.12.48,IP,high,high,AB,Skipa or similar 
212.41.13.23,212.41.13.23,IP,high,high,AB,Skipa or similar 
212.41.13.24,212.41.13.24,IP,high,high,AB,Skipa or similar 
212.41.13.25,212.41.13.25,IP,high,high,AB,Skipa or similar 
31.131.251.106,31.131.251.106,IP,high,high,AB,Skipa or similar 
31.131.251.235,31.131.251.235,IP,high,high,AB,Skipa or similar 
31.131.255.205,31.131.255.205,IP,high,high,AB,Skipa or similar 
31.131.255.206,31.131.255.206,IP,high,high,AB,Skipa or similar 
31.131.255.207,31.131.255.207,IP,high,high,AB,Skipa or similar 
31.131.255.208,31.131.255.208,IP,high,high,AB,Skipa or similar 
31.131.255.209,31.131.255.209,IP,high,high,AB,Skipa or similar 
31.131.255.210,31.131.255.210,IP,high,high,AB,Skipa or similar 
31.131.255.211,31.131.255.211,IP,high,high,AB,Skipa or similar 
31.131.255.212,31.131.255.212,IP,high,high,AB,Skipa or similar 
31.131.255.240,31.131.255.240,IP,high,high,AB,Skipa or similar 
37.9.13.54,37.9.13.54,IP,high,high,AB,Skipa or similar 
37.9.13.84,37.9.13.84,IP,high,high,AB,Skipa or similar 
37.9.13.105,37.9.13.105,IP,high,high,AB,Skipa or similar 
37.9.13.217,37.9.13.217,IP,high,high,AB,Skipa or similar 
45.146.167.56,45.146.167.56,IP,high,high,AB,Skipa or similar 
45.146.167.68,45.146.167.68,IP,high,high,AB,Skipa or similar 
45.146.167.105,45.146.167.105,IP,high,high,AB,Skipa or similar 
45.146.167.237,45.146.167.237,IP,high,high,AB,Skipa or similar 
45.92.176.94,45.92.176.94,IP,high,high,AB,Skipa or similar 
45.92.176.129,45.92.176.129,IP,high,high,AB,Skipa or similar 
45.92.176.143,45.92.176.143,IP,high,high,AB,Skipa or similar 
45.92.176.144,45.92.176.144,IP,high,high,AB,Skipa or similar 
45.92.176.145,45.92.176.145,IP,high,high,AB,Skipa or similar 
45.92.177.113,45.92.177.113,IP,high,high,AB,Skipa or similar 
45.92.177.127,45.92.177.127,IP,high,high,AB,Skipa or similar 
45.92.177.237,45.92.177.237,IP,high,high,AB,Skipa or similar 
45.93.20.45,45.93.20.45,IP,high,high,AB,Skipa or similar 
45.93.20.79,45.93.20.79,IP,high,high,AB,Skipa or similar 
45.93.20.104,45.93.20.104,IP,high,high,AB,Skipa or similar 
45.93.20.109,45.93.20.109,IP,high,high,AB,Skipa or similar 
